Original,,Parameter,Value
K_CW = 0.2,,K_CW,0.2
n_CW = 6.0,,n_CW,6.0
k_Cr = 0.5,,k_Cr,0.5
K_CL = 0.24,,K_CL, 0.24
n_CL = 6.0,,n_CL,6.0
K_CH = 0.13,,K_CH, 0.13
n_CH = 5.0,,n_CH,5.0
k_Cp = 2.7,,k_Cp,2.7
b_Cr  = 1.0,,b_Cr,1.0
b_Wr = 0.5,,b_Wr,0.5
k_WL = 1.0,,k_WL,1.0
k_WC = 1.0,,k_WC,1.0
k_Wr = 1.2,,k_Wr,1.2
K_WW = 0.53,,K_WW, 0.53
n_WW = 0.2,,n_WW,0.2
K_WL = 0.29,,K_WL, 0.29
n_WL = 6.0,,n_WL,6.0
K_WC = 0.1,,K_WC,0.1
n_WC = 6.0,,n_WC,6.0
k_Wp = 0.345,,k_Wp,0.345
b_W  = 0.4,,b_W ,0.4
b_Wr = 1.0,,b_Wr,1.0
k0_W = 0.3,,k0_W,0.3
a_C  = 0,,a_C ,   0
K_HW = 0.3,,K_HW,0.3
n_HW = 4.0,,n_HW,4.0
b_p = 1.0,,b_p ,1.0
k_p = 1.0,,k_p ,1.0
b_H = 1.0,,b_H ,1.0
k_H = 1.0,,k_H ,1.0
k_L = 10,,k_L ,10.0
b_L = 1.5,,b_L ,1.5
D_W = 1.0,,D_W ,1.0
D_C = 6.0,,D_C ,6.0
D_L = 1.2,,D_L ,1.2
