変数1,変数2,変数3
1,5,10
1,5,15
1,5,20
1,5,25
1,7,10
1,7,15
1,7,20
1,7,25
1,9,10
1,9,15
1,9,20
1,9,25
1,11,10
1,11,15
1,11,20
1,11,25
1,13,10
1,13,15
1,13,20
1,13,25
2,5,10
2,5,15
2,5,20
2,5,25
2,7,10
2,7,15
2,7,20
2,7,25
2,9,10
2,9,15
2,9,20
2,9,25
2,11,10
2,11,15
2,11,20
2,11,25
2,13,10
2,13,15
2,13,20
2,13,25
3,5,10
3,5,15
3,5,20
3,5,25
3,7,10
3,7,15
3,7,20
3,7,25
3,9,10
3,9,15
3,9,20
3,9,25
3,11,10
3,11,15
3,11,20
3,11,25
3,13,10
3,13,15
3,13,20
3,13,25
4,5,10
4,5,15
4,5,20
4,5,25
4,7,10
4,7,15
4,7,20
4,7,25
4,9,10
4,9,15
4,9,20
4,9,25
4,11,10
4,11,15
4,11,20
4,11,25
4,13,10
4,13,15
4,13,20
4,13,25
5,5,10
5,5,15
5,5,20
5,5,25
5,7,10
5,7,15
5,7,20
5,7,25
5,9,10
5,9,15
5,9,20
5,9,25
5,11,10
5,11,15
5,11,20
5,11,25
5,13,10
5,13,15
5,13,20
5,13,25
6,5,10
6,5,15
6,5,20
6,5,25
6,7,10
6,7,15
6,7,20
6,7,25
6,9,10
6,9,15
6,9,20
6,9,25
6,11,10
6,11,15
6,11,20
6,11,25
6,13,10
6,13,15
6,13,20
6,13,25
7,5,10
7,5,15
7,5,20
7,5,25
7,7,10
7,7,15
7,7,20
7,7,25
7,9,10
7,9,15
7,9,20
7,9,25
7,11,10
7,11,15
7,11,20
7,11,25
7,13,10
7,13,15
7,13,20
7,13,25
8,5,10
8,5,15
8,5,20
8,5,25
8,7,10
8,7,15
8,7,20
8,7,25
8,9,10
8,9,15
8,9,20
8,9,25
8,11,10
8,11,15
8,11,20
8,11,25
8,13,10
8,13,15
8,13,20
8,13,25
9,5,10
9,5,15
9,5,20
9,5,25
9,7,10
9,7,15
9,7,20
9,7,25
9,9,10
9,9,15
9,9,20
9,9,25
9,11,10
9,11,15
9,11,20
9,11,25
9,13,10
9,13,15
9,13,20
9,13,25
