time,AHPTp,Bp,A,WUS,CLV,CLV1,CLV3
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000301,0.000201,0.000000,0.000003,0.000007,0.000000,0.000100,0.000000
0.001809,0.001205,0.000001,0.000018,0.000044,0.000000,0.000603,0.000000
0.009344,0.006217,0.000026,0.000093,0.000228,0.000000,0.003114,0.000001
0.047023,0.031040,0.000655,0.000516,0.001149,0.000000,0.015654,0.000027
0.206264,0.131784,0.011676,0.005930,0.005213,0.000000,0.067685,0.000529
0.489527,0.295901,0.057018,0.046235,0.014199,0.000000,0.152325,0.003223
0.844644,0.478278,0.139696,0.160971,0.030658,0.000000,0.240344,0.011105
1.336164,0.695601,0.263242,0.401077,0.064549,0.000000,0.335132,0.034809
2.023002,0.945735,0.409996,0.808003,0.130914,0.000000,0.435810,0.106606
3.104335,1.247059,0.559065,1.468237,0.264983,0.000000,0.556235,0.364005
4.848603,1.575994,0.658927,2.350132,0.513821,0.000000,0.695708,1.450274
6.535957,1.779342,0.682387,2.917059,0.760451,0.000000,0.754871,4.413498
6.971972,1.819399,0.683830,3.024370,0.823212,0.000000,0.748749,5.990184
7.407987,1.855416,0.684388,3.118460,0.885367,0.000000,0.727636,8.459332
7.790915,1.884062,0.684403,3.191301,0.939414,0.000000,0.690359,12.429634
8.000226,1.898641,0.684288,3.227582,0.968736,0.000000,0.657407,16.818742
8.095947,1.905069,0.684215,3.243391,0.982093,0.000000,0.636857,20.644063
8.191668,1.911351,0.684131,3.258727,0.995417,0.000000,0.608781,30.278668
8.215074,1.912865,0.684110,3.262406,0.998669,0.000000,0.598862,39.140145
8.221572,1.913284,0.684103,3.263423,0.999572,0.000000,0.595308,47.298172
8.223407,1.913403,0.684102,3.263710,0.999827,0.000000,0.594100,53.817421
8.224245,1.913456,0.684101,3.263840,0.999943,0.000000,0.593464,61.859878
8.224491,1.913472,0.684101,3.263879,0.999978,0.000000,0.593248,68.538947
8.224615,1.913480,0.684100,3.263898,0.999995,0.000000,0.593126,79.177892
8.224631,1.913481,0.684100,3.263901,0.999997,0.000000,0.593108,83.157449
8.224647,1.913482,0.684100,3.263903,0.999999,0.000000,0.593089,92.829834
8.224649,1.913483,0.684100,3.263904,1.000000,0.000000,0.593086,96.860363
8.224651,1.913483,0.684100,3.263904,1.000000,0.000000,0.593083,106.888059
8.224652,1.913483,0.684100,3.263904,1.000000,0.000000,0.593082,119.219151
8.224652,1.913483,0.684100,3.263904,1.000000,0.000000,0.593081,127.964255
